n01797886_8416,n01807496_6388
n02104365_4813,n02110627_6108
n02493509_7982,n02494079_7944
n01914609_6163,n02607072_551
n01740131_18954,n01744401_5653
n02093256_507,n02093428_652
n02106030_8943,n02106166_3695
n01667778_1812,n01669191_1441
n02107908_8455,n02108000_3818
n01753488_518,n01756291_910
n03496892_4408,n04428191_4450
n02978881_2626,n03584254_892
n02979186_4691,n04392985_3446
n03216828_20310,n03947888_10653
n01797886_13697,n01807496_11357
n02114712_13640,n02115641_15226
n02422106_1461,n02423022_3222
n03773504_8162,n04008634_9425
n03017168_62888,n03447721_31591
n02395406_40150,n02396427_23823
n04264628_6735,n04505470_3286
n02804610_21125,n03394916_47241,n03838899_34555
n01828970_693,n01843065_203
n03761084_16513,n04442312_11580
n01753488_10629,n01756291_16989
n01644373_13655,n01644900_16023
n02669723_5283,n03787032_5096
n03733805_1400,n03920288_1725
n02979186_1961,n04392985_1393
n01753488_506,n01756291_889
n02119022_2172,n02119789_1187
n02412080_6267,n02415577_7780
n02094114_1128,n02096437_1102,n02098105_1113
n02093256_5459,n02108422_2081
n02412080_2499,n02415577_3049
n01797886_8848,n01807496_7394
n03733805_2729,n04597913_1377
n02123045_3649,n02123159_2238
n02978881_13026,n04392985_7226
n03134739_1501,n03942813_1965
n02107908_7401,n02108000_5983
n02443114_14849,n02443484_13015
n02974003_4625,n04037443_37312
n01753488_9394,n01756291_14925
n03710637_1781,n03710721_3889
n02137549_4977,n02138441_3114
n03773504_14076,n04008634_26333
n01737021_22944,n01740131_19225
n03249569_3519,n03250847_655
n01797886_1220,n01807496_1041
n02441942_12483,n02443114_16603
n01740131_17544,n01755581_16636
n02099267_3871,n02099429_2394
n02089867_6792,n02089973_5641
n03535780_51770,n03888605_27763
n02115913_5398,n02120505_12898
n02749479_6623,n03594945_18815
n07711569_4976,n07871810_12083
n02085620_1185,n02107312_653
n03724870_16020,n03868863_8164
n02484975_1062,n02486261_2353
n03249569_17639,n04311174_7830
n02094433_9662,n02096294_5189
n02699494_6109,n03028079_10357
n02895154_22393,n03146219_17012
n03782006_4659,n04152593_25368
n03063689_17072,n03297495_6785
n01514668_22589,n01514859_10959
n07753275_27664,n07753592_21177
n02107908_8831,n02108000_4138
n02412080_1442,n02415577_1728
n04525305_1054,n04557648_11943
n02091134_11393,n02091831_8228
n02169497_1072,n02174001_1857
n02116738_3359,n02117135_5926
n03710637_7722,n03710721_16407
n01773157_3799,n01773797_4007
n02979186_1891,n02988304_1922,n04392985_1341
n03773504_18260,n04008634_17946
n01797886_10166,n01807496_8454
n03908618_10261,n04116512_14966
n02102973_2645,n02102973_4469
n02974003_6978,n03208938_6289
n02978881_4158,n02979186_13443
n03773504_8614,n04008634_22002
n03773504_5087,n04008634_19210
n03773504_19634,n04008634_19059
n02107908_10775,n02108000_5921
n02106030_10021,n02106166_4107
n02110063_10176,n02114367_10759
n03782006_5377,n04152593_26390
n02107142_39958,n02110806_11887
n02106166_8088,n02108551_6384
n03782006_17627,n04152593_44375
n02395406_26521,n02396427_15676
n02268443_23691,n02268853_2423
n02979186_18994,n04392985_9102
n02088466_10463,n02090379_4649
n03584829_38112,n04367480_44066
n01693334_2421,n01749939_59
n01729977_16950,n01749939_5626
n03773504_25481,n04008634_23864
n02002556_10123,n02002724_7884
n02403003_8867,n03868242_12
n01729977_10906,n01739381_3504
n03710637_7557,n03710721_14656
n03633091_14475,n04597913_2531
n02104029_1115,n02113799_2689
n02107574_3763,n02108000_4130
n02441942_8918,n02443114_11875
n03710637_8929,n03710721_456
n01753488_4942,n01755581_6320,n01756291_7835
n01770081_19424,n01776313_44733
n01682714_3956,n01693334_3441
n02749479_7317,n04090263_13706
n02095889_2117,n02097298_11421
n01728572_10896,n01740131_10607
n02979186_3927,n04392985_2884
n01753488_8715,n01756291_13769
n01871265_121,n02504458_3143
n01734418_7810,n01740131_7536
n02091134_1802,n04517823_14108
n02441942_23642,n02442845_25661
n02978881_2146,n04392985_9061
n01630670_4736,n01631663_5829
n02804414_4813,n03125729_5651
n01682714_6292,n01693334_5399
n02483362_8654,n02483708_3152
n01797886_5469,n01798484_2319
n03776460_18559,n03796401_4370
n02095570_4752,n02108915_9714
n03782006_12332,n04152593_36374
n03630383_7964,n04317175_10864
n01753488_3197,n01756291_5063
n03196217_4361,n03197337_5062,n04328186_14736
n02808440_19356,n04493381_48482
n03710637_639,n03710721_1430
n03775546_243,n07930864_772
n02093256_2590,n04409515_3304
n02869837_741,n03485794_1684
n02669723_3824,n03787032_3721
n02090622_1002,n02091831_1264
n02978881_4007,n02979186_13404
n01978455_1548,n01986214_2983
n01797886_21803,n01798484_11644
n03017168_37856,n03447721_21978
n01753488_10759,n01756291_17198
n01753488_3121,n01756291_9307
n03710637_5360,n03710721_11400
n02749479_8275,n04090263_15467
n03535780_8013,n03888605_6668
n02807133_5352,n02837789_9531
n04201297_10840,n04239074_12723
n01983481_19914,n01985128_50181
n03602883_10594,n03995372_1360
n01664065_13432,n01665541_18281
n03457902_47626,n04049303_7106
n03637318_9307,n04380533_4552
n02791124_7877,n02791270_22123
n02114367_16803,n02114548_18323
n01728572_14525,n01753488_12215
n02749479_8182,n04090263_15335
n01735189_6308,n01740131_4455
n01753488_9970,n01756291_15913
n03724870_13435,n04229816_4578
n01682714_11136,n01693334_9741
n03110669_83547,n04141076_41730
n03710637_9429,n03710721_19733
n02669723_15216,n03787032_14976
n02018795_3229,n02423022_4076
n02988304_12991,n04392985_10112
n03124043_6273,n03124170_8267
n01631663_8275,n01632458_5803
n01755581_7365,n01756291_9091
n03710637_7213,n03710721_15325
n03496892_1405,n04428191_1473
n01753488_3296,n01756291_5245
n02119022_8819,n02119789_4644
n02895154_23156,n03146219_10506
n01978455_1381,n01986214_2638
n02895154_761,n03146219_394
n03481172_26915,n04154565_30179
n03075370_18657,n04125021_26818
n03691459_67821,n04392985_10152
n02104365_5715,n02107312_4084
n01740131_12201,n01756291_2565
n01630670_2630,n01631663_3159
n02895154_15066,n03146219_23135
n02808440_3442,n04493381_2103
n02443114_3888,n02443484_3402
n03710637_2848,n03710721_6132
n02708093_1104,n04328186_2655
n03773504_13238,n04008634_25606
n03017168_6326,n03447721_3613
n03110669_69239,n04487394_17645
n02107908_12136,n02108000_7239
n02795169_31499,n04049303_6582
n02988304_13207,n04392985_461
n01871265_1952,n02504458_3125
n02105855_13980,n02106030_1494
n03773504_3150,n04008634_17715
n02128385_19295,n02128925_72109
n03782006_9333,n04152593_31988
n03782006_30379,n04152593_61607
n02412080_15567,n02415577_19503
n02094258_267,n02101556_481
n01514668_8072,n01514859_8060
n02091635_10389,n02096437_867
n02493509_5728,n02494079_4540
n03017168_55895,n03447721_45178
n02403003_9595,n03868242_13395
n01630670_5716,n01631663_5186
n02791124_6688,n02791270_1080
n01797886_6284,n01807496_5293
n07711569_3855,n07871810_9396
n02395406_18552,n02396427_8788
n03777754_3415,n03782006_4267
n02412080_7155,n02415577_8846
n03180011_4749,n03793489_6438
n02814533_85928,n03594945_35331
n01871265_4813,n02504013_6483
n03630383_9937,n04317175_3900
n03141823_7451,n03814639_6485
n01773549_128,n01774384_513
n02412080_11977,n02415577_14972
n01753488_8181,n01756291_17711
n03710637_6937,n03710721_14681
n02981792_2375,n04483307_1642
n01773157_1010,n01773549_5108
n01630670_525,n01632458_464
n02749479_7695,n04090263_14389
n02094114_8520,n02094258_7028
n02441942_22004,n02443114_7515
n02486261_6222,n02489166_3232,n02493509_5553
n02095314_6169,n02097209_371
n02085936_1055,n02113712_239
n01631663_2375,n01632458_1652
n02106030_2358,n02106166_956
n02979186_2826,n02988304_2855
n03782006_13204,n04152593_37711
n03773504_5362,n04008634_19478
n02086240_3921,n02097474_7300
n03710637_14215,n03710721_13007
n02395406_18899,n02396427_11131
n01753488_2796,n01756291_4443
n12144580_3648,n13133613_6447
n03782006_6417,n04152593_27847
n02093991_7525,n02098105_7076
n02102040_7625,n02102177_3877
n02412080_12690,n02415577_15873
n02395406_18654,n02396427_10994
n03692522_16624,n04118776_42441
n03017168_685,n03447721_405
n02107574_3660,n02107908_8694,n02108000_4051
n02979186_13415,n04392985_2189
n03146219_19107,n03929855_4990
n03970156_6222,n04447861_3354
n04591713_5842,n07892512_17036
n01797886_9776,n01807496_8321
n03355925_1677,n03976657_10875
n03633091_10897,n04332243_1170
n02099601_6435,n04409515_651
n01773157_936,n01773797_968
n04037443_9787,n04285008_4661
n02978881_4296,n02979186_3260,n04392985_9180
n02107574_3976,n02107908_9098,n02108000_4419
n03710637_1934,n03710721_4149
n02877765_14798,n03983396_4711
n02412080_434,n02415577_544
n01753488_3815,n01756291_6084
n01675722_1203,n01685808_1629
n01773157_6612,n01773797_9
n01753488_5054,n01756291_8008
n01797886_410,n01807496_333
n02093991_2860,n02098105_2483
n03394916_11330,n04487394_6748
n03710637_9073,n03710721_19180
n01797886_14289,n01807496_11819
n01753488_10972,n01756291_18022
n03773504_4154,n04008634_18490
n03773504_20167,n04008634_19533
n02097209_2721,n02105251_5814
n03710637_9485,n03710721_19826
n03710637_1987,n03710721_4323
n02669723_7769,n03787032_7280
n02088466_1988,n02089973_736
n02110063_12011,n02110185_9761
n03400231_1318,n04596742_783
n03710637_12670,n03710721_25305
n02978881_15779,n02988304_12447,n04392985_8769
n02168699_6752,n02169497_3483
n01914609_2079,n02607072_4802
n03782006_5174,n04152593_26146
n02113023_6656,n02113186_5636
n01797886_6916,n01807496_5814
n02808440_33372,n04493381_8524
n02101556_7948,n02102480_2878
n01797886_3060,n01807496_2601
n02119022_8415,n02119789_1685
n02441942_24169,n02442845_26260
n03065424_14398,n03804744_1059
n03773504_6748,n04008634_20560
n01682714_4821,n01693334_4185
n02093859_2215,n02093991_3414
n01797886_14074,n01807496_4685
n02988304_21968,n04041544_42419
n01797886_17080,n01807496_14046
n01797886_9175,n01807496_7673
n01978455_7916,n01980166_5507
n03950228_4731,n04522168_22900
n03710637_11337,n03710721_22997
n01773157_973,n01773797_1010
n02317335_44320,n02319095_926
n02120079_14814,n02120505_11571
n02804610_22767,n03838899_549
n02895154_27517,n03146219_3749
n03773504_2361,n04008634_19767
n02108915_1082,n02134084_2013
n01871265_23,n02504013_39
n01514668_22261,n01514859_9000
n02808440_26114,n04493381_55198
n04476259_1189,n07742313_596
n03710637_6483,n03710721_15033
n02412080_966,n02415577_1153
n02002556_207,n02002724_175
n02895154_13410,n03146219_6165
n02395406_5161,n02396427_2987
n02690373_6999,n04592741_35861
n02096177_6368,n04409515_457
n02979186_1792,n03290653_6868
n02395406_790,n02396427_479
n03773504_693,n04008634_15884
n03773504_23775,n04008634_22473
n03710637_16298,n03710721_31577
n02107908_9587,n02108000_4833
n02978881_3603,n02979186_2718
n02395406_10379,n02396427_6072
n02097130_6722,n02097209_5757
n01797886_9985,n01807496_8297
n03496892_1450,n03967562_1691
n01872401_1414,n01873310_12503
n02165105_12190,n02168699_7788
n03773504_15530,n04008634_15691
n01797886_3821,n01807496_3234
n02101388_5962,n02102177_3843
n02093256_2870,n02093428_3871
n02165105_7810,n02167151_7882
n03179701_916,n04152593_46640
n02088094_4353,n02091134_6003,n02091831_4344
n03782006_13966,n04152593_38813
n02979186_14462,n04392985_9380
n02123045_720,n02123159_452
n01740131_17143,n01744401_1775
n02093754_6119,n02093991_4252
n02128385_18912,n02128925_59701
n02114367_27294,n02115641_3692
n02110063_11795,n02110185_9607
n02979186_14758,n04392985_4675
n02804610_20204,n03394916_43973,n03838899_33379
n03773504_12062,n04008634_24668
n01682714_10838,n01693334_9466
n03216828_6119,n03874293_8358
n01630670_4445,n01631663_5479
n03075370_598,n04204347_782
n02817516_20866,n03929855_3398
n02492035_10614,n02493509_5524
n02167151_2290,n02172182_2548
n02403003_3967,n03868242_7036
n02169497_6627,n02174001_2997
n03773504_15103,n04008634_546
n02895154_498,n03929855_73
n01582220_5266,n02114548_4128
n01797886_14947,n01807496_12346
n03691459_41785,n03977966_6449
n02108422_1072,n02108915_8699
n03933933_65376,n04532670_30058
n01753488_3058,n01756291_4824
n02749479_2181,n04090263_4143
n03773504_3009,n04008634_19115
n03180011_10541,n03782006_42020
n03017168_27933,n03447721_16248
n02395406_7148,n02396427_8477
n02094258_5138,n02096294_4720
n02099601_7757,n02099712_7865
n01729322_3374,n01753488_3345
n02107683_3661,n02107908_2378
n02441942_13033,n02457408_11949
n02114548_5037,n02120079_5777
n01729977_461,n01739381_158
n02123045_10703,n02123159_6748
n01797886_6409,n01807496_5398
n02107574_3435,n02107908_8438
n03832673_16530,n04041544_17803
n01753488_8445,n01755581_10833
n01753488_14328,n01756291_25556
n02669723_8862,n03787032_8275
n03376595_98,n04336792_110
n02109961_2317,n02110185_1614
n02099429_3310,n02099849_2618
n03773504_24409,n04008634_7919
n03773504_14065,n04008634_49595
n03773504_1339,n04008634_16365
n02089867_1499,n02090379_2081
n02119789_2157,n02120505_3445
n03710637_920,n03710721_2020
n02442845_5358,n02443114_7655
n02441942_1723,n02443114_3693,n02443484_3246
n02395406_20383,n02396427_9504
n01630670_3632,n01631663_4420
n01629819_2804,n01632458_1315
n03017168_5323,n03447721_3042
n01729977_3207,n01749939_1211
n02504013_2859,n02504458_3315
n01753488_14166,n01756291_5781
n03782006_4080,n04152593_24566
n03355925_7779,n03976657_9615
n02978881_7380,n02979186_5481,n04392985_5621
n03706229_3527,n04118776_36868
n01729977_5106,n01739381_1709
n01675722_4360,n01688243_5299
n03773504_9684,n04008634_9666
n01773157_4236,n01773797_4443
n03017168_41291,n03447721_23989
n01753488_5600,n01756291_8765
n07920052_31189,n07930864_25260
n01667114_1592,n01669191_3176
n12144580_29541,n13133613_52665
n02669723_2032,n03787032_1981
n02113624_3564,n02113712_2506
n01753488_10937,n01756291_17846
n02493509_896,n02494079_933
n03196217_3601,n03197337_4145
n01630670_2949,n01631663_3503
n03877472_9431,n04525038_4549
n02114367_14659,n02114712_9809
n02109961_3206,n02110185_2211
n01753488_24623,n01756291_27925
n02110185_5863,n02808304_13942
n01753488_2462,n01756291_3946
n02113712_2068,n04074963_12090
n01753488_27027,n01756291_32828
n03710637_2448,n03710721_5292
n03710637_11432,n03710721_23166
n03782006_8629,n04152593_30980
n01872401_5740,n02346627_6299
n02791124_28,n02791270_54
n01773549_6321,n01774384_20672
n01729977_16714,n01739381_6040
n02441942_11883,n02442845_11139
n01984695_20103,n01985128_15754
n01753488_14359,n01756291_25625
n02395406_20755,n02396427_12201
n02441942_22008,n02442845_5224
n02749479_2248,n04090263_4300
n03773504_2379,n04008634_30855
n13037406_3625,n13052670_6528
n01796340_10117,n01797886_16918
n03854065_2672,n04523525_2094
n01729322_10079,n01753488_8239
n03773504_11739,n04008634_24399
n01753488_5466,n01756291_8599
n03180011_9941,n03832673_18765
n07697537_8708,n07711569_1591
n01729977_11660,n01739381_5249
n03773504_19333,n04008634_18833
n01753488_9101,n01756291_14443
n02493509_14290,n02493793_6777
n03773504_22972,n04008634_21833
n03773504_13895,n04008634_26163
n02093859_4352,n02093991_3770
n03782006_13576,n04152593_38242
n01797886_6715,n01807496_10510
n02100877_11566,n03803284_20020
n02979186_10006,n02988304_10339
n07718747_10237,n07730033_1559
n03967562_17182,n04465501_15176
n03710637_3203,n03710721_6873
n02097047_2535,n02097209_1064
n03527444_5728,n04086273_9955
n01744401_11079,n01756291_14077
n01728572_11356,n01729322_15320
n02493793_4371,n02494079_3480
n02093991_196,n02098105_179
n02086910_316,n02087046_386
n02749479_3686,n04090263_6995
n01667114_1290,n01669191_2642
n02808440_11982,n04251144_4312
n01797886_4620,n01807496_5951
n01773549_2857,n01774384_9571
n03637318_27468,n04590129_20259
n02412080_1852,n02415577_2259
n01797886_13897,n01807496_11514
n02115913_1885,n02119022_6486
n01753488_8340,n01756291_13123
n03710637_3676,n03710721_7816
n01753488_8667,n01756291_5114
n03773504_56,n04008634_55
n01753488_9168,n01756291_14539
n02906734_23997,n04367480_20924
n03290653_11682,n03529860_7706
n03782006_19425,n04152593_47001
n02412080_11217,n02415577_7752
n01753488_11054,n01756291_18371
n03782006_10402,n04152593_33472
n01978287_91,n01981276_144
n01773549_6521,n01774384_9647
n01629819_8899,n01630670_4745
n01630670_259,n01631663_327
n01797886_5880,n01807496_4949
n02090622_9625,n02091134_3043
n03630383_7080,n04317175_9651
n02106030_6870,n02106166_3064
n01753488_8785,n01756291_13910
n03291819_14269,n03871628_14462
n02795169_26436,n04049303_4849
n01753488_1326,n01756291_2182
n02086240_4278,n02112018_4774
n03196217_6916,n03197337_1869
n03710637_12907,n03710721_25684
n01797886_8741,n01807496_7298
n02808440_19197,n04493381_343
n02097047_2056,n02097130_1849
n02749479_3545,n04090263_6725
n02093991_8909,n02098105_8578
n02097130_7069,n02097209_5024
n02088466_11759,n02089078_4355
n01667114_4893,n01667778_12003
n04263257_3700,n04597913_2557
n03404251_16532,n04325704_18071
n03933933_20205,n04311004_3382
n02085782_381,n02102040_639
n03933933_4062,n04311004_657
n03773504_14288,n04008634_26468
n02104029_477,n02106662_2357
n02099712_2891,n02099849_1873
n01978287_1818,n01978455_12285
n01797886_3643,n01798484_2728,n01807496_8077
n03534580_3640,n03866082_7498
n02669723_7774,n03787032_7285
n02979186_22575,n04392985_4523
n02788148_13644,n03376595_2725
n02090622_3186,n02091831_4191
n01978287_269,n01978455_244
n03773504_2536,n04008634_17258
n03710637_6962,n03710721_14741
n02107574_5190,n02107908_10690,n02108000_5857
n01797886_7495,n01807496_276
n02443114_7080,n02443484_15897
n03710637_10058,n03710721_20802
n02979186_16835,n02988304_22158
n03706229_2011,n04579432_7199
n02105251_2494,n02107908_2660
n02105162_2035,n03803284_9769
n01797886_14400,n01807496_11910
n01828970_5045,n01843065_1357
n01797886_12090,n01807496_10059
n02093991_2455,n02102973_6566
n01981276_12783,n01986214_10508
n01728572_1919,n01728920_1756
n02114367_26316,n02114548_18617
n02107908_9051,n02108000_4372
n02412080_6374,n02415577_6875
n03724870_9517,n04229816_3237
n02106662_17575,n03803284_1570
n02804610_33025,n03838899_52894
n02102480_2041,n02102480_3436
n02895154_358,n03146219_179
n02808440_871,n04493381_551
n02395406_4587,n02396427_2658
n01797886_6905,n01807496_5806
n02107574_4517,n02107908_9813
n02699494_9278,n03028079_15726
n02123045_12088,n02870880_642
n03250847_9453,n04311174_7466
n02441942_20585,n02443114_15000
n02093256_2187,n02093428_2996
n02093647_1011,n02095570_2986
n03871628_14622,n04443257_12181
n03017168_2409,n03447721_1346
n03908714_7608,n04118776_15487
n03710637_16035,n03710721_31132
n01629819_4362,n01632458_2021
n02002556_2481,n02002724_1843
n02895154_15549,n03146219_7075
n01797886_4833,n01807496_4067
n03085013_25864,n03180011_10645
n03314780_1070,n03676483_2524
n02701002_1347,n04336792_1079
n03000134_334,n04482393_1240
n03782006_712,n04152593_19716
n07614500_57630,n07615774_32449
n02966687_2126,n04154565_4177
n02808440_6423,n04493381_21345
n03782006_14627,n04152593_39841
n03773504_10236,n04008634_23272
n02107908_8450,n02108000_3811
n03773504_13995,n04008634_26258
n01797886_8888,n01807496_7429
n02088094_5952,n02090721_3073
n02808440_43585,n04493381_26030
n01797886_2810,n01807496_2394
n02105251_1092,n02106662_3231
n04041544_40061,n04392985_9539
n03895866_91295,n06874185_18565
n02091467_3604,n02110185_7431
n03208938_1834,n03792782_4895
n01753488_9852,n01756291_1752
n01739381_1044,n01751748_1938
n02094433_4480,n02095570_1404
n03141823_17159,n06874185_14383
n01797886_4028,n01798484_2271
n03710637_1822,n03710721_2940
n03710637_10663,n03710721_21823
n03782006_17993,n04152593_45015
n02950826_8449,n04389033_14209
n01978287_4606,n01978455_4783
n02795169_10260,n04049303_2128
n01797886_1535,n01807496_1297
n02395406_3172,n02396427_1822
n02002556_8597,n02002724_6337
n03777754_7786,n04041544_14712
n02490219_4374,n02494079_5069
n03017168_52981,n03447721_43745
n04591713_10704,n07892512_28227
n01729977_15706,n01739381_698
n02749479_1225,n04090263_2449
n02112706_1833,n02112706_2074
n04264628_1907,n04505470_896
n02167151_3602,n02177972_5739
n01984695_17332,n01985128_13521
n01753488_10952,n01756291_17929
n03400231_9269,n04330267_20919
n02879718_4794,n04192698_9895
n02490219_9807,n02493509_11386
n02483362_1640,n02483708_573
n01978287_3992,n01981276_6616
n02106030_17820,n02106166_7301
n02895154_34217,n03146219_1973
n02097298_5082,n02105251_1981
n01682714_5324,n01693334_5422
n01773157_2207,n01773797_2338
n02980441_4537,n03388043_5641
n02441942_5375,n02443114_7207
n02090622_6248,n02091831_236
n01728920_3189,n01737021_3384
n01984695_34749,n01985128_27024
n02114712_11550,n02115913_3768,n02119022_9389
n01514668_13414,n01514859_652
n04118776_7831,n04238763_8504
n03782006_21127,n04152593_49235
n03782006_36012,n04152593_68889
n02749479_7053,n04090263_13268
n02099429_685,n02102973_972
n03016953_14356,n03337140_41856
n02167151_9107,n02168699_3608
n03887697_8434,n15075141_24769
n02412080_17261,n02415577_21570
n02099601_284,n02100877_267
n02804610_17294,n03838899_29167
n02412080_50,n02415577_586
n01755581_12869,n01756291_15885
n02395406_46742,n02396427_27814
n02403003_6717,n03868242_3152
n03125729_13169,n03131574_45878
n07714571_1434,n07715103_12958
n03773504_5391,n04008634_19497
n02979186_5269,n02988304_16951
n02395406_84808,n02396427_45562
n03630383_12384,n04317175_18905
n02441942_9054,n02442845_4514
n02484975_5528,n02486261_11813,n02493509_9517
n02979186_25726,n04392985_14523
n02979186_6725,n04392985_3428
n03075370_10378,n04125021_5307
n02094433_5404,n02097047_4793
n03085013_6963,n03793489_8692
n12144580_285,n13133613_479
n02119789_6385,n02120505_10542
n02895154_27464,n03146219_3633
n01753488_24361,n01756291_27443
n03773504_27589,n04008634_25488
n03710637_8495,n03710721_463
n01753488_11016,n01756291_18192
n01729977_14968,n01749939_6098
n01729977_3835,n01739381_1287
n02441942_21999,n02442845_5217
n01797886_6292,n01807496_5301
n02895154_39686,n03146219_8055
n03782006_38523,n04152593_37839
n01871265_3422,n02504458_5470
n01682714_4950,n01693334_4279
n03032252_24275,n03529860_4676
n02795169_25508,n04049303_5911
n01630670_1839,n01631663_2257
n01728572_9031,n01748264_10571
n03085013_21021,n03832673_14162
n01753488_3465,n01756291_5476
n02699494_5682,n03028079_9637
n02669723_620,n03787032_621
n02114712_8749,n02114855_27118
n03773504_865,n04008634_4015
n02095314_558,n02095570_1055
n07734744_7281,n12998815_13059
n01797886_9731,n01807496_7172
n01797886_4880,n01807496_4100
n01978287_7044,n01978455_7343
n07747607_12444,n07749582_7078
n02167151_1322,n02172182_1452
n02100735_13116,n02100877_16551
n01728572_6188,n01740131_6832
n02114367_478,n02114548_11644
n01797886_4169,n01807496_3537
n02412080_550,n02415577_8770
n01797886_14287,n01807496_11816
n02002556_10035,n02002724_518
n01753488_1870,n01756291_2968
n03710637_9657,n03710721_2065
n02808440_3772,n04493381_2289
n01755581_324,n01756291_433
n02441942_6326,n02443114_8449
n01753488_5563,n01756291_8715
n02808440_31163,n04493381_8401
n02087394_20997,n02094114_7296
n03773504_1229,n04008634_16286
n02895154_46709,n03146219_10745
n03908714_283,n04116512_1035
n02486261_4066,n02493509_11898
n01753488_10870,n01756291_17536
n02109961_1223,n02110185_868
n02823428_3141,n02823750_3187
n13044778_129,n13052670_143
n01753488_1711,n01756291_13373
n02666196_10767,n04238763_10810
n03773504_10989,n04008634_10944
n02795169_15338,n04049303_9162
n03534580_2832,n03866082_1182
n04350905_45661,n04479046_11112
n03773504_13050,n04008634_186
n03782006_897,n04152593_19998
n04447861_4378,n15075141_13494
n04074963_14659,n04404412_25013
n01689811_824,n01698640_1630
n03201208_23132,n04239074_21918
n04264628_8776,n04505470_4247
n02107574_3726,n02107908_8776
n04153751_11526,n04154565_1513
n02488291_5846,n02493509_15896
n02092339_6339,n02100583_3847
n01797886_1595,n01807496_1348
n02807133_22820,n03710637_15287
n02346627_26423,n02363005_10640
n01984695_34516,n01985128_26846
n01753488_11005,n01756291_18142
n02791124_5369,n02791270_15460
n01797886_10784,n01807496_8966
n03933933_17544,n04311004_2940
n02088094_11299,n02090622_8549
n01753488_5845,n01756291_9195
n02704792_24116,n04389033_46764
n07720875_7311,n07871810_11461
n02087394_6067,n02100583_7615
n02978881_10930,n04392985_5998
n03085013_21210,n03793489_5011
n03908618_16250,n04116512_23600
n02027492_2367,n02033041_1764
n01630670_7926,n01631663_2896
n03109150_39417,n07892512_13696
n01675722_195,n01770393_8190
n03782006_4416,n04152593_25071
n03887697_4472,n15075141_175
